seed,dbscan_eps_over_d0,bulk_wall_exclusion_over_d0,analysed_frames,mean_vortex_count,mean_first_shell_bond
1,0.1,0.4,5,12.4,1.4136539968317323
1,0.1,0.5,5,12.0,1.4107871434374564
1,0.1,0.7,5,12.0,1.4107871434374564
1,0.12,0.4,5,12.4,1.4136285140628515
1,0.12,0.5,5,12.0,1.4106250046020379
1,0.12,0.7,5,12.0,1.4106250046020379
1,0.14,0.4,5,12.4,1.4137169399534304
1,0.14,0.5,5,12.0,1.410674371497562
1,0.14,0.7,5,12.0,1.410674371497562
1,0.152018634829629,0.4,5,12.4,1.4138169688818454
1,0.152018634829629,0.5,5,12.0,1.4106584237778155
1,0.152018634829629,0.7,5,12.0,1.4106584237778155
9,0.1,0.4,5,21.6,1.334905828545149
9,0.1,0.5,5,19.2,1.337351129485075
9,0.1,0.7,5,15.2,1.3392909564658542
9,0.12,0.4,5,21.0,1.3421055379238154
9,0.12,0.5,5,18.6,1.3442156850946163
9,0.12,0.7,5,14.6,1.3478498505564218
9,0.14,0.4,5,20.8,1.3463205516178007
9,0.14,0.5,5,18.2,1.3495199578196029
9,0.14,0.7,5,14.4,1.3537533239304615
9,0.152018634829629,0.4,5,20.8,1.3465275066900215
9,0.152018634829629,0.5,5,18.2,1.3496009215014977
9,0.152018634829629,0.7,5,14.4,1.3538179542183422
17,0.1,0.4,5,23.0,1.320596299078899
17,0.1,0.5,5,22.2,1.3197934589927072
17,0.1,0.7,5,18.2,1.3284489480515211
17,0.12,0.4,5,21.2,1.3479213062082886
17,0.12,0.5,5,20.4,1.3482619668147784
17,0.12,0.7,5,16.6,1.3597635493328195
17,0.14,0.4,5,21.2,1.3467118188297937
17,0.14,0.5,5,20.4,1.3470043107230958
17,0.14,0.7,5,16.6,1.358576959480316
17,0.152018634829629,0.4,5,21.0,1.3499447187249218
17,0.152018634829629,0.5,5,20.2,1.351085165786849
17,0.152018634829629,0.7,5,16.4,1.3631855390568302
