d0,diameter,diameter_over_d0,seed,fourier_mode_terminal,peak_count_terminal,dbscan_count_terminal,observed_mode,temporal_mode_median,fourier_amplitude_terminal,temporal_amplitude_median,temporal_mode_stability,shell_particle_fraction,lattice_formed,heading_handedness_terminal,effective_radius,wall_distance_of_clusters,effective_wavenumber,effective_arc_spacing,geometric_chord_spacing,actual_chord_mean,actual_chord_std,arc_over_d0,geometric_chord_over_d0,actual_chord_over_d0,wall_distance_over_d0,fourier_locking_time_10_frames,fourier_lock_persistent_to_end,source_file,bulk_quantized_mode,observed_minus_bulk_mode,protocol,nominal_diameter_over_d0
0.75,2.475,3.3000000000000003,9,10,10,10,10,10,0.9985910928843115,0.9985090021681016,1.0,1.0,True,1.0,1.2133819783359983,0.024118021664001787,8.24142782614404,0.7623903818277243,0.7499113039482355,0.7499166252046148,0.001473544733099184,1.0165205091036325,0.9998817385976473,0.999888833606153,0.03215736221866905,25.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=2.5,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",8,2,similarity_scaled,3.3
0.75,2.475,3.3000000000000003,10,10,10,10,10,10,0.998039535447037,0.9979803124646646,1.0,1.0,True,1.0,1.2135364994732525,0.02396350052674756,8.24037843471589,0.7624874703216488,0.7500068032630388,0.750007478092847,0.002993859760419169,1.016649960428865,1.000009071017385,1.0000099707904626,0.031951334035663415,32.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=2.5,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",8,2,similarity_scaled,3.3
0.75,2.475,3.3000000000000003,11,10,10,10,10,10,0.9977440093064353,0.9978465103542093,1.0,1.0,True,1.0,1.213345748216337,0.02415425178366304,8.241673912568094,0.762367617772171,0.7498889125028683,0.7498877248192125,0.0035225025268656807,1.0164901570295612,0.9998518833371577,0.99985029975895,0.032205669044884054,35.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=2.5,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",8,2,similarity_scaled,3.3
0.75,3.435,4.58,9,14,14,14,14,14,0.9971567575241389,0.9972513253580699,1.0,1.0,True,1.0,1.6922137991670065,0.02528620083299349,8.273186288216955,0.7594637771094773,0.7531059900888106,0.7531037253436079,0.0034223331339337327,1.0126183694793032,1.0041413201184142,1.004138300458144,0.03371493444399132,37.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=3.4,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",12,2,similarity_scaled,4.58
0.75,3.435,4.58,10,14,14,14,14,14,0.9941525304414437,0.9938463698055209,1.0,0.9995,True,1.0,1.692551675351226,0.024948324648774056,8.27153475068631,0.7596154155863583,0.7532563591369589,0.7532504056534509,0.004229733763293139,1.0128205541151443,1.0043418121826118,1.0043338742046013,0.03326443286503208,45.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=3.4,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",12,2,similarity_scaled,4.58
0.75,3.435,4.58,11,14,14,14,14,14,0.9988716620012864,0.9987268109835874,1.0,1.0,True,1.0,1.692301758139625,0.025198241860375115,8.272756281592729,0.7595032530040766,0.7531451355142844,0.7532078812235812,0.0026102571613745686,1.0126710040054354,1.0041935140190459,1.004277174964775,0.033597655813833484,100.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=3.4,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",12,2,similarity_scaled,4.58
0.75,4.58,6.1066666666666665,9,19,19,19,19,19,0.9957609985381622,0.9952958687722993,1.0,0.977,True,1.0,2.270292705076472,0.019707294923528185,8.368964916953301,0.7507720930280781,0.7473557952188018,0.7473599240143128,0.0016339192945795885,1.0010294573707708,0.9964743936250691,0.9964798986857505,0.026276393231370914,37.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",16,3,fixed_diameter,
0.75,4.58,6.1066666666666665,10,19,19,19,19,19,0.9827560455818873,0.9775654468489685,1.0,0.961,True,1.0,2.2672653864254673,0.02273461357453277,8.380139402187533,0.7497709770244917,0.7463592346727792,0.7463641449302604,0.013571803144078421,0.9996946360326556,0.9951456462303723,0.9951521932403472,0.030312818099377026,127.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5",16,3,fixed_diameter,
0.75,4.58,6.1066666666666665,11,19,19,19,19,19,0.9735165256764743,0.976636236894938,1.0,0.9825,True,1.0,2.266157239572018,0.023842760427982057,8.384237275427676,0.749404519549345,0.7459944447181505,0.7459987334002892,0.022121582221069816,0.9992060260657932,0.9946592596242007,0.9946649778670523,0.03179034723730941,125.0,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_d0_sweep\CircularBoundaryPatternFormation(K=40.000,D0=0.750,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5",16,3,fixed_diameter,
1.0,3.3,3.3,9,10,10,10,10,10,0.9985833973465924,0.9985767118519894,1.0,1.0,True,1.0,1.6253281995308295,0.02467180046917039,6.15260351902257,1.021223826263676,1.0045080701837235,1.004539023628644,0.005811604932703438,1.021223826263676,1.0045080701837235,1.004539023628644,0.02467180046917039,32.5,True,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=40.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5",8,2,similarity_scaled,3.3
