strength_k,diameter,seed,fourier_mode_terminal,fourier_amplitude_terminal,peak_count_terminal,dbscan_count_terminal,observed_mode,temporal_mode_median,temporal_mode_stability,temporal_amplitude_median,shell_particle_fraction,lattice_formed,heading_handedness_terminal,heading_direction_sign_terminal,wall_radius,cluster_radius_mean,cluster_radius_std,wall_distance_of_clusters,fourier_locking_time_10_frames,fourier_lock_persistent_to_end,effective_wavenumber,effective_arc_spacing,geometric_chord_spacing,actual_chord_mean,actual_chord_std,bare_turning_length_v_over_k,source_file
8.0,3.3,9,9,0.9848520730252135,9,9,9,9,1.0,0.9838932374983425,0.959,True,1.0,1.0,1.65,1.5212965822297422,0.005107076131416483,0.12870341777025773,125.0,True,5.916006191776774,1.0620653703698264,1.0406281501901327,1.0406635501222117,0.009957868723956351,0.375,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=8.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5"
8.0,3.3,10,9,0.9828516441069434,9,9,9,9,1.0,0.981899909552751,0.9665,True,1.0,1.0,1.65,1.5191061970837505,0.009622428391907316,0.1308938029162494,155.0,True,5.9245364262731774,1.060536193062453,1.0391298385069918,1.0391893519396918,0.007988054225368366,0.375,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=8.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5"
8.0,3.3,11,9,0.984165772736401,9,9,9,9,1.0,0.9837569571088413,0.9695,True,1.0,1.0,1.65,1.5160707880448252,0.005821406993487788,0.1339292119551747,100.0,True,5.936398267792427,1.0584170777874915,1.0370534964379012,1.03708779420526,0.008996082664805912,0.375,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=8.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5"
8.0,4.58,9,24,0.1411038882704921,10,0,24,5,0.15,0.13042332206597718,0.161,False,0.6454849498327759,1.0,2.29,,,0.1232698662870031,,False,11.076598615847292,0.5672486225320318,0.5656300678440014,,,0.375,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=8.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5"
8.0,4.58,10,7,0.25718489337973155,8,2,7,7,0.65,0.11149593378663299,0.252,False,1.0,-1.0,2.29,,,0.1177571546023195,,False,3.2224757995317437,1.949800618546955,1.8850016960650187,,,0.375,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=8.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5"
8.0,4.58,11,13,0.9665618585029904,13,13,13,13,1.0,0.9670862808503515,0.939,True,1.0,1.0,2.29,2.165378078990933,0.011555852024895012,0.1246219210090671,155.0,True,6.003570520145843,1.0465747484926606,1.0364177868148616,1.0364176092835176,0.014438835767453738,0.375,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=8.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5"
12.0,3.3,9,9,0.9650090305529209,9,9,9,9,1.0,0.9458092079219618,0.998,True,1.0,1.0,1.65,1.5500605165494032,0.011110497132496972,0.09993948345059667,97.5,True,5.806224920840472,1.0821463847580455,1.0603038400673739,1.0602467407395748,0.012135758217581227,0.25,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=12.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5"
12.0,3.3,10,3,0.2937095631485684,1,1,1,3,1.0,0.27954179555396197,0.006,False,0.9253578732106339,-1.0,1.65,,,1.1699379189573413,,False,2.0830639192082736,3.0163190141412874,1.1758129818818179e-16,,,0.25,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=12.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=10).h5"
12.0,3.3,11,9,0.9828711202845449,9,9,9,9,1.0,0.981076765795001,1.0,True,1.0,1.0,1.65,1.550590806971928,0.005182548467899592,0.09940919302807183,70.0,True,5.804239235479316,1.0825165973126396,1.0606665800800064,1.060675761232674,0.004842007540753229,0.25,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=12.000,D0=1.000,A0=1.571,L=3.3,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=11).h5"
12.0,4.58,9,13,0.9869066999354681,13,13,13,13,1.0,0.986425488584861,1.0,True,1.0,1.0,2.29,2.1860856889384497,0.006681875106296542,0.10391431106155036,132.5,True,5.9467019366074,1.0565831908441254,1.0463290976756567,1.0463347107330259,0.004759518553313619,0.25,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\boundary_lattice_k_sweep\CircularBoundaryPatternFormation(K=12.000,D0=1.000,A0=1.571,L=4.6,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=500,seed=9).h5"
