alpha_over_pi,defect_height,direction,direction_fixedness,temporal_uniformity,spatial_coverage,current_strength,directed_current,chiral_flow_stability,mean_abs_block_current,active_blocks,adaptive_edge_width_over_L,terminal_saved_frame,hdf5_file,geometry_group,model_label,condition,long_time_chiral_transport
0.0,0.0,CW,1.0,1.0,0.9577022274606924,1.0,1.0,0.9856971461788286,1.0,20,0.028125000000000004,500,"CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle,圆形无缺陷,-1.0
0.2,0.0,CCW,1.0,1.0,0.9616159070466791,1.0,1.0,0.9870380152271707,1.0,20,0.028125000000000004,1000,"CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle,圆形无缺陷,1.0
0.4,0.0,CCW,1.0,0.9999995409894841,0.9966080930957602,0.9996646741674227,0.9996646741674227,0.9987562695615545,0.9996646741674227,20,0.028125000000000004,250,"CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle,圆形无缺陷,1.0
0.6,0.0,CCW,1.0,0.9999642653629343,0.9966781717880816,0.9943456271171132,0.9943456271171132,0.9969933582364077,0.9943456271171132,20,0.084375,5001,"CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle,圆形无缺陷,1.0
0.8,0.0,CCW,1.0,0.9996900062052503,0.9956263386922661,0.9657253590780932,0.9657253590780932,0.9868969068137281,0.9657253590780932,20,0.05625000000000001,1000,"CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle,圆形无缺陷,1.0
0.0,3.0,CCW,0.30719877479608565,0.9996613187304878,0.6921455854344829,0.9944929761755563,0.3055070238244437,0.5956948518038648,0.9944929761755563,20,0.028125000000000004,5000,"CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle_defect,圆形单缺陷 H=3,0.9502487562189056
0.2,3.0,CCW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.10312500000000001,1000,"CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle_defect,圆形单缺陷 H=3,0.0
0.4,3.0,CCW,1.0,0.997931097609354,0.5394261590447947,0.9692299539703727,0.9692299539703727,0.8050443303238353,0.9692299539703727,20,0.028125000000000004,5000,"CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle_defect,圆形单缺陷 H=3,0.9844097064142808
0.6,3.0,CCW,1.0,0.9208181268859392,0.9249342175021587,0.47522790852919317,0.47522790852919317,0.7397112343072828,0.47522790852919317,20,0.11250000000000002,8000,"CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle_defect,圆形单缺陷 H=3,0.1823650412714525
0.8,3.0,CCW,1.0,0.9985203714839752,0.9800840872946661,0.9244548597652372,0.9244548597652372,0.9671681639002943,0.9244548597652372,20,0.10312500000000001,5000,"CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",asymmetric_circle,circle_defect,圆形单缺陷 H=3,1.0
0.0,0.0,CCW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.075,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square,方形无缺陷,0.0
0.2,0.0,CW,0.9999999999999999,0.09999994941350251,0.04532985641132418,0.09989353380367827,0.09989353380367827,0.0767904419093671,0.09989353380367827,2,0.11250000000000002,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square,方形无缺陷,-0.0845771144278607
0.4,0.0,CCW,1.0,0.9998838312576765,0.9653703525509276,0.9733511615629036,0.9733511615629036,0.979424622924015,0.9733511615629036,20,0.0375,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square,方形无缺陷,0.99986986598188
0.6,0.0,CCW,1.0,0.991046898458167,0.9598061496971209,0.828129748470408,0.828129748470408,0.923546372716757,0.828129748470408,20,0.046875,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square,方形无缺陷,0.8952668615021189
0.8,0.0,CCW,1.0,0.9996590467278562,0.9374402987328391,0.9144216946491065,0.9144216946491065,0.9498332028808518,0.9144216946491065,20,0.05625000000000001,5000,"CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square,方形无缺陷,0.9957329004299088
0.0,1.0,CW,0.06305369524244463,0.5896000527180195,0.07821699983162622,0.5558806082702502,0.035050326465057104,0.11735913817255594,0.5558806082702502,13,0.15,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1,-0.5009662431643436
0.2,1.0,CW,0.6684251419671503,0.63069320597864,0.16871624467636273,0.6031820421685461,0.40318204216854603,0.35007310322682506,0.6031820421685461,13,0.09375,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1,-0.5048649454849228
0.4,1.0,CCW,1.0,0.9918654044681932,0.7627087405492938,0.9001172164542952,0.9001172164542952,0.8797720858019411,0.9001172164542952,20,0.046875,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1,0.9525079389429532
0.6,1.0,CCW,1.0,0.9874305540338314,0.9643238295928619,0.8048998568957251,0.8048998568957251,0.9151461075089612,0.8048998568957251,20,0.0375,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1,0.8702511097521496
0.8,1.0,CCW,1.0,0.9979809948086618,0.796608185643535,0.8775663633934864,0.8775663633934864,0.8869156836068106,0.8775663633934864,20,0.046875,8000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,H=1.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1,0.9690225499127452
0.0,1.5,CCW,0.5555555555555556,0.45,0.1370667424073155,0.45,0.25,0.2489018958421161,0.45,9,0.09375,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1.5,0.3184079601990049
0.2,1.5,CCW,0.6648833780296711,0.5813705918747193,0.1515963708904085,0.5203469367252451,0.3459700290372725,0.31241133362028084,0.5203469367252451,12,0.028125000000000004,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1.5,0.4167921269219728
0.4,1.5,CCW,1.0,0.9989423494912725,0.7201925062238028,0.9388978078664761,0.9388978078664761,0.8774097365826413,0.9388978078664761,20,0.0375,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1.5,0.9783437134112754
0.6,1.5,CCW,1.0,0.9608542518360282,0.875771521403777,0.7121978199190365,0.7121978199190365,0.8431075755824756,0.7121978199190365,20,0.05625000000000001,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1.5,0.6987983206918295
0.8,1.5,CCW,1.0,0.9965282374317809,0.8082791222958842,0.8294406518332862,0.8294406518332862,0.8742026039490942,0.8294406518332862,20,0.05625000000000001,5000,"CollisionBoundaryFourSpikePatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,H=1.500,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",symmetric_square,square_defect,方形四缺陷 H=1.5,0.9374037382478132
