strength_k,diameter,resolution_order,m,eigen_index,real_sigma,imag_sigma,abs_sigma,edge_fraction,radial_roughness
8.0,3.3,40,5,0,8.006071431236488e-18,4312872.423135901,4312872.423135901,0.9999999999709455,432311.1744635975
8.0,3.3,40,5,1,-1.9071683701661708e-22,800680.6537905645,800680.6537905645,0.2261936502608933,318974.40085107874
8.0,3.3,40,5,2,9.916118164022841e-23,-365901.23123349884,365901.23123349884,0.03502324388956847,285404.5982204194
8.0,3.3,40,5,3,1.2598223638453873e-21,53624.76122959191,53624.76122959191,0.00023600996064002266,35555.061371945565
8.0,3.3,40,5,4,1.1894861809129491e-21,-26408.7459054648,26408.7459054648,0.00014785127791633925,35548.00865130778
8.0,3.3,40,5,5,4.5528045747237895e-21,11808.228489149873,11808.228489149873,7.280629571551362e-05,11898.931348793785
8.0,3.3,40,5,6,-3.652830465421002e-21,-6419.716954465801,6419.716954465801,0.0006297705696772378,11621.44418000626
8.0,3.3,40,5,7,6.442674981912163e-20,-5589.144312248515,5589.144312248515,0.9999792287766331,20986.173303831823
8.0,3.3,40,5,8,-1.711390113297978e-21,5534.099138194035,5534.099138194035,0.9999802370046882,20701.660744417666
8.0,3.3,40,5,9,7.475233075218581e-21,4296.219813266581,4296.219813266581,0.00041216563996612527,5664.480217303906
8.0,3.3,40,5,10,9.910462565084772e-21,-2579.643557378345,2579.643557378345,0.0088175325661711,5308.658599238495
8.0,3.3,40,5,11,5.097246262629729e-21,-2313.0245358917887,2313.0245358917887,0.9998784835348206,8384.308445673034
8.0,3.3,40,5,12,4.7389841903408266e-20,2282.823604578417,2282.823604578417,0.9998733786547234,8289.808714212557
8.0,3.3,40,5,13,3.81676740414001e-20,2068.5664382013974,2068.5664382013974,0.006481136116319583,3391.3394624867506
8.0,3.3,40,5,14,2.2668899816629795e-21,-1355.2911277992494,1355.2911277992494,0.0010568750433088575,3092.5522169187425
8.0,3.3,40,5,15,2.7429946672877915e-20,-1140.9682358740547,1140.9682358740547,0.998770513603672,4106.431978436102
8.0,3.3,40,5,16,-4.4052554612982465e-20,1190.0910779938695,1190.0910779938695,0.0039351483483034775,2221.0829967554573
8.0,3.3,40,5,17,4.1103830324186676e-20,1131.0703985023843,1131.0703985023843,0.9985868625362927,4055.2085910456162
8.0,3.3,40,5,18,-9.208339653350662e-22,-838.8539255082437,838.8539255082437,0.006549080227562665,2027.6229167781428
8.0,3.3,40,5,19,-3.3292047826562136e-20,-747.1106531972972,747.1106531972972,0.9872226600981536,2642.4854745652165
8.0,3.3,40,5,20,1.710633620105995e-20,774.255195280975,774.255195280975,0.024937985524023862,1582.5647435116487
8.0,3.3,40,5,21,2.961890541787433e-20,739.5338540743442,739.5338540743442,0.9857720340366546,2616.2901578059204
8.0,3.3,40,5,22,2.2546383934206532e-21,-579.8873361837179,579.8873361837179,0.0025134811195088066,1499.768449376529
8.0,3.3,40,5,23,2.0434306974529452e-20,551.2587238316238,551.2587238316238,0.002266650819875707,1241.9151000946097
8.0,3.3,40,5,24,2.87364428156584e-20,-512.5814877790004,512.5814877790004,0.8378017805533199,1797.7540705944875
8.0,3.3,40,5,25,1.1041182440157641e-20,509.6973206186105,509.6973206186105,0.8287779384822768,1777.281990924404
8.0,3.3,40,5,26,4.3630374747373155e-20,-435.70056418301203,435.70056418301203,0.011256163948188208,1163.1033491547557
8.0,3.3,40,5,27,8.691361304722937e-20,422.36177335998144,422.36177335998144,0.017603233047463158,1011.9868754082555
8.0,3.3,40,5,28,-1.0019743342894661e-19,-401.4549506274864,401.4549506274864,0.48115356792088776,1384.0011908970782
8.0,3.3,40,5,29,-1.3011289900631162e-19,399.14000514257543,399.14000514257543,0.4633300282793697,1371.0310833697774
8.0,3.3,40,5,30,-8.837545322000524e-19,-350.8875929226763,350.8875929226763,0.020673505170019146,1004.5180715890664
8.0,3.3,40,5,31,-1.0493629636983344e-18,345.4348075562633,345.4348075562633,0.027668453433894676,920.2062374627899
