strength_k,diameter,resolution_order,m,eigen_index,real_sigma,imag_sigma,abs_sigma,edge_fraction,radial_roughness,edge_candidate_filter_used
8.0,3.3,40.0,13.0,105.0,2.5160927187315826e-05,8.720098548151171e-05,9.075838322641177e-05,0.5911489255959802,5684.467611881951,True
8.0,4.58,40.0,16.0,107.0,4.159032570061634e-06,3.2318558085966645e-05,3.258506941338062e-05,0.6094478236681394,6064.143714888614,True
12.0,3.3,40.0,13.0,105.0,7.706813994701203e-05,0.0002757539481440444,0.0002863210402885554,0.600418106293257,5149.149492473807,True
12.0,4.58,40.0,16.0,108.0,1.0655060819074688e-05,0.00010112948400031957,0.00010168924650733269,0.6346259700340102,5530.975729135872,True
20.75,3.3,40.0,13.0,103.0,0.0002934291274216889,0.0011465618417750287,0.0011835137134118894,0.6371692379413648,4182.98071328602,True
20.75,4.58,40.0,13.0,113.0,3.633714461580931e-08,1.11005420931784e-08,3.799486956935982e-08,0.6956910863064405,84461.64088681737,True
40.0,3.3,40.0,13.0,104.0,0.0006862704938743357,0.004037055156886755,0.004094970272237451,0.727524840161956,3845.1659556839586,True
40.0,4.58,40.0,12.0,98.0,0.00043978583185092884,-0.010764565218335688,0.010773545187991708,0.5475539587466448,3352.4937392333945,True
8.0,3.3,50.0,6.0,116.0,1.64170025095299e-05,0.00033823410962622864,0.00033863229451138523,0.5152779311005076,1115.8541600859182,True
8.0,4.58,50.0,12.0,135.0,2.4627998053369306e-06,8.316522932999925e-06,8.673519272837369e-06,0.5917384923998819,5909.277175494552,True
12.0,3.3,50.0,12.0,140.0,4.674751303845966e-06,1.6989727885573053e-05,1.7621128039334716e-05,0.6069200921082489,10553.223692429463,True
12.0,4.58,50.0,10.0,134.0,1.1239971283151174e-05,7.901262412182915e-05,7.980809310504493e-05,0.5111314657340239,2862.614812213826,True
20.75,3.3,50.0,12.0,139.0,1.87491178218163e-05,7.514217099313669e-05,7.744595070536704e-05,0.5991412176502356,8875.303470034762,True
20.75,4.58,50.0,12.0,135.0,4.139884443454769e-05,0.0001047802189525181,0.00011266214361644958,0.5822741713182495,4671.765163120375,True
40.0,3.3,50.0,14.0,137.0,0.00022949268138749824,-0.00045531277324937114,0.0005098790173114178,0.505742258332728,8930.899936257183,True
40.0,4.58,50.0,12.0,134.0,0.00012447375132338976,0.0004161091412950866,0.0004343276784155615,0.5230065675499777,4235.852321102518,True
8.0,3.3,60.0,5.0,126.0,7.349949411288652e-05,-0.0005323188585748755,0.0005373690936677588,0.5071475462195716,866.689968430086,True
8.0,4.58,60.0,14.0,160.0,2.278045220707194e-06,4.689049621059829e-06,5.213125394266689e-06,0.6260718921444113,17879.556746167444,True
12.0,3.3,60.0,5.0,126.0,0.00016529666703648293,-0.0013636259608781245,0.0013736079314397387,0.5021903840743979,805.1653807551273,True
12.0,4.58,60.0,14.0,161.0,7.102957213449437e-06,1.5345049916845447e-05,1.6909244753287235e-05,0.6136696898031879,16933.958779379875,True
20.75,3.3,60.0,9.0,158.0,3.1099765231003355e-05,-0.0003354272305478636,0.00033686588190321847,0.6460544781299201,8970.105157312484,True
20.75,4.58,60.0,14.0,160.0,2.650318507011637e-05,7.129188779497827e-05,7.60588724885704e-05,0.593582186575886,15118.663100134032,True
40.0,3.3,60.0,7.0,167.0,0.00011939704105917214,0.00035844684689661485,0.00037780920510730137,0.6102038656786272,9786.943334351523,True
40.0,4.58,60.0,17.0,75.0,0.04857427754577344,-30.80692378514457,30.806962079441483,0.9995699981056458,4070.5098798423696,True
8.0,3.3,70.0,9.0,173.0,1.3025439201487174e-05,-2.3452166092411616e-05,2.6826594282869748e-05,0.5092582189498044,6325.758654497779,True
8.0,4.58,70.0,9.0,187.0,1.9646504671488055e-07,-5.194079399629805e-07,5.553225393204091e-07,0.5770306799509465,8542.341407402624,True
12.0,3.3,70.0,9.0,173.0,3.639236864074991e-05,-7.406773733327321e-05,8.252535494594973e-05,0.527026185003243,5932.525224289412,True
12.0,4.58,70.0,9.0,188.0,6.195083590697037e-07,-1.694716728452199e-06,1.8043989017545323e-06,0.5646144908788117,7929.820320986308,True
20.75,3.3,70.0,9.0,180.0,9.109648030357517e-05,-0.0002936523621056057,0.00030745776700857863,0.5640679108750539,5599.910804013834,True
20.75,4.58,70.0,9.0,188.0,2.5602683395953777e-06,-7.789861677284155e-06,8.19981212723528e-06,0.5249292287587809,6670.627005140101,True
40.0,3.3,70.0,8.0,187.0,0.00013418761238689195,0.0004884593397705621,0.0005065558625928519,0.5826010564952762,5199.759735949086,True
40.0,4.58,70.0,8.0,165.0,0.0005560027033689102,-0.005263284805588203,0.005292570826251565,0.5479751214043137,1822.2194265734754,True
8.0,3.3,80.0,8.0,208.0,1.2351430822933381e-06,6.3924940322322265e-06,6.51072640999925e-06,0.5565143304582998,14365.901741754655,True
8.0,4.58,80.0,10.0,208.0,1.4500012711865367e-06,-4.33481751826347e-06,4.570902165118658e-06,0.5021343805254498,9218.930913596749,True
12.0,3.3,80.0,10.0,166.0,2.0031204557986708e-05,-0.0007229704206791129,0.0007232478678385285,0.506835074091196,1577.7076518911354,True
12.0,4.58,80.0,10.0,210.0,4.655886848816804e-06,-1.3970121033305072e-05,1.4725541213625325e-05,0.5014861500058618,8495.089788830912,True
20.75,3.3,80.0,8.0,211.0,1.9842261268919362e-05,0.00010056173286963728,0.00010250062170547233,0.5598693495292716,11768.581021589736,True
20.75,4.58,80.0,10.0,211.0,1.9602138701053114e-05,-6.15104550691099e-05,6.455834511869331e-05,0.5234299588214748,7008.221158495012,True
40.0,3.3,80.0,6.0,208.0,0.00010274492295867417,0.0007720799406565332,0.0007788863549696962,0.5813441336599343,5732.000266626272,True
40.0,4.58,80.0,15.0,215.0,4.095340457622168e-06,-3.6628758556745875e-05,3.6856990746291554e-05,0.5811960787856634,8774.197413106014,True
