alpha_over_pi,epsilon_radians,k_star,lambda_star,maximum_growth,growth_over_epsilon
0.500001,3.1415926536801315e-06,5.094669033916409,1.2332862577237,3.846996293077609e-06,1.224536952163786
0.50001,3.1415926535754956e-05,5.094661673966947,1.2332880393777352,3.846996287037996e-05,1.2245369502821029
0.5001,0.0003141592653589447,5.094669117684887,1.2332862374455404,0.00038469961838316635,1.2245369174250686
0.501,0.003141592653589796,5.09466864223735,1.2332863525389737,0.003846985908001699,1.2245336465266663
0.502,0.006283185307179592,5.094667678995293,1.2332865857147874,0.007693909538094346,1.2245237346895952
0.505,0.01570796326794898,5.094660331395143,1.2332883643803145,0.019233683951192404,1.22445434987981
0.51,0.03141592653589796,5.094634347718023,1.2332946544032029,0.03845958207016764,1.2242065191431206
0.52,0.06283185307179592,5.094530210294831,1.233319864210986,0.07685685009112793,1.2232147602475785
0.55,0.1570796326794898,5.093792574305038,1.2334984622016771,0.19104852412367634,1.216252679387771
0.6,0.31415926535897926,5.091025353357758,1.2341689288652915,0.374192496968881,1.1910917112099297
