frame,time,dominant_mode,dominant_amplitude,target_amplitude,shell_fraction,handedness
0,0.0,7,0.9001942176325659,0.900194217632567,1.0,1.0
1,0.5,7,0.8999828399402313,0.8999828399402315,1.0,1.0
2,1.0,7,0.900557199777173,0.9005571997771734,1.0,1.0
3,1.5,7,0.9011328565045418,0.9011328565045429,1.0,1.0
4,2.0,7,0.9018403058566611,0.9018403058566623,1.0,1.0
5,2.5,7,0.902994189036928,0.9029941890369293,0.9995,1.0
6,3.0,7,0.9040413489636024,0.9040413489636023,0.9995,1.0
7,3.5,7,0.904961317138637,0.9049613171386379,0.9985,1.0
8,4.0,7,0.9059446438829332,0.9059446438829333,0.998,1.0
9,4.5,7,0.9071231194293757,0.9071231194293755,0.9955,1.0
10,5.0,7,0.9066490190226422,0.9066490190226412,0.995,0.9989949748743718
11,5.5,7,0.9065648195465149,0.9065648195465158,0.993,1.0
12,6.0,7,0.9078978113058351,0.9078978113058361,0.9895,0.9989888776541962
13,6.5,7,0.9087237501968811,0.9087237501968815,0.9885,1.0
14,7.0,7,0.907722664798293,0.9077226647982932,0.989,1.0
15,7.5,7,0.9068439808052424,0.9068439808052419,0.9895,0.9979777553083923
16,8.0,7,0.9060025310441688,0.9060025310441698,0.9845,0.9979664463650229
17,8.5,7,0.90885018705534,0.90885018705534,0.9805,1.0
18,9.0,7,0.9047017789867579,0.9047017789867577,0.9825,0.9979623025980642
19,9.5,7,0.905082977108814,0.9050829771088157,0.9825,1.0
20,10.0,7,0.9019619869663201,0.9019619869663195,0.984,0.9969465648854962
21,10.5,7,0.9017587995767657,0.9017587995767666,0.9845,0.9989837398373984
22,11.0,7,0.9022464658471979,0.9022464658471967,0.9855,0.9989852866565195
23,11.5,7,0.9010254416214633,0.9010254416214636,0.9855,0.9989852866565195
24,12.0,7,0.8986106144041774,0.8986106144041768,0.987,0.9979736575481256
25,12.5,7,0.8981293065022155,0.8981293065022149,0.9865,0.9989863152559554
26,13.0,7,0.8959558593460661,0.8959558593460669,0.988,0.9989878542510121
27,13.5,7,0.8975330994422938,0.8975330994422939,0.988,0.9989878542510121
28,14.0,7,0.8952283402944908,0.8952283402944893,0.99,0.998989898989899
29,14.5,7,0.8941266731454288,0.8941266731454279,0.9905,0.9979808177688037
30,15.0,7,0.8934904079011422,0.8934904079011429,0.993,0.998992950654582
31,15.5,7,0.8937339899323316,0.8937339899323316,0.991,1.0
32,16.0,7,0.8954126229157422,0.8954126229157441,0.992,1.0
33,16.5,7,0.8940291275278223,0.894029127527822,0.995,0.9979889391654098
34,17.0,7,0.8937491266486987,0.893749126648698,0.996,1.0
35,17.5,7,0.8947260097604065,0.8947260097604075,0.996,1.0
36,18.0,7,0.8948311535349877,0.8948311535349875,0.9965,0.9989964877069744
37,18.5,7,0.8960139215049162,0.8960139215049157,0.996,1.0
38,19.0,7,0.8971236971160893,0.8971236971160891,0.9965,1.0
39,19.5,7,0.8980206591370892,0.8980206591370863,0.9965,1.0
40,20.0,7,0.8986387165187635,0.8986387165187626,0.996,1.0
41,20.5,7,0.8995274576793663,0.8995274576793654,0.996,0.998995983935743
42,21.0,7,0.9006799874514513,0.9006799874514535,0.996,1.0
43,21.5,7,0.9009338165052989,0.900933816505298,0.996,0.998995983935743
44,22.0,7,0.9004345014199499,0.9004345014199491,0.997,0.9989969909729187
45,22.5,7,0.9010921417502434,0.9010921417502438,0.997,1.0
46,23.0,7,0.9007887142643972,0.9007887142643975,0.9975,1.0
47,23.5,7,0.9011698698604989,0.9011698698604982,0.998,1.0
48,24.0,7,0.9015202307849599,0.9015202307849592,0.9985,1.0
49,24.5,7,0.9019559071137218,0.9019559071137221,0.999,1.0
50,25.0,7,0.9029133133599069,0.9029133133599077,0.9995,1.0
51,25.5,7,0.9038659551664249,0.9038659551664238,0.998,1.0
52,26.0,7,0.9048066755913232,0.9048066755913245,0.9975,1.0
53,26.5,7,0.9054808084441645,0.9054808084441653,0.9965,1.0
54,27.0,7,0.9062335713305232,0.9062335713305226,0.997,1.0
55,27.5,7,0.9066053549235348,0.9066053549235339,0.9975,0.9989974937343359
