seed,trajectory,iteration_start,iteration_end,sampled_terminal_frames,first_shell_spacing_mean,first_shell_spacing_time_std,first_shell_spacing_pooled_median
1,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=1).h5",40000,50000,101,1.4101957158665497,0.003558188043275003,1.3711352646253046
2,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=2).h5",40000,50000,101,1.3879953751128205,0.005002030597390961,1.364532759454637
3,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=3).h5",40000,50000,101,1.388359111093563,0.007920083130453816,1.3805711569982175
4,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=4).h5",40000,50000,101,1.3924249654071505,0.00751464167045824,1.3731969179655814
5,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=5).h5",40000,50000,101,1.343759693272295,0.0021121012887111304,1.3435266316510397
6,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=6).h5",40000,50000,101,1.3048905315499737,0.003724513675979872,1.3037088035849191
7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=7).h5",40000,50000,101,1.3332858975699318,0.010872426605247393,1.3322242694644186
8,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=8).h5",40000,50000,101,1.3134826946297655,0.014190180769754724,1.3034738792519107
9,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=9).h5",40000,50000,101,1.3498026183071805,0.005316779651158004,1.3455377491780203
10,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\alpha06_bulk_N2000_steps50000_snap50\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=50,seed=10).h5",40000,50000,101,1.3434448061935116,0.006316385512140955,1.3326822442024682
