v,omega,rho0,d0,lam,K_effective,alpha_over_pi,bands,C_pole,status,reason,min_relative_gap,finite_k_max,globally_proven
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,0,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,1,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,2,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,0+1,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,0+2,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,1+2,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0,0+1+2,NA,invalid,singular_or_unresolved_closure: D0 is zero within relative tolerance,nan,NA,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.223977180193515e-09,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999150479195,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.223977180193515e-09,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.223977180193515e-09,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4999999150479195,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.223977180193515e-09,1.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,1e-05,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.150637413221925e-09,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.43398902353811286,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.150637413221925e-09,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.150637413221925e-09,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.43398902353811286,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.150637413221925e-09,16.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.01,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.237614697150132e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.3039941893925975,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.237614697150132e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.237614697150132e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.3039941893925975,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.237614697150132e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.02,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.480253897483739e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.22197286683400735,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.480253897483739e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.480253897483739e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.22197286683400735,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.480253897483739e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.025,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.1911430985741514e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.09891938325005714,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.1911430985741514e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.1911430985741514e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.09891938325005714,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,1.1911430985741514e-08,32.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.03,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,0,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.4819199113004974e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,7.400174798887031e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.4819199113004974e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,0+1,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.4819199113004974e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,0+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,7.400174798887031e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,1+2,NA,invalid_target_complement_gap,target_complement_gap_below_tolerance,2.4819199113004974e-08,64.0,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.041676250000000005,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.0887113692522019,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.08871136925220188,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.08871136925220188,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.08871136925220188,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.08871136925220188,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.0887113692522019,110.44132764249296,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.0833425,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591807,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591785,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591785,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591785,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591785,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.25512889369591807,163.28910023918166,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.12500875,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.35792535803022435,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.35792535803022435,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.3579253580302246,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,0+1,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.3579253580302246,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,0+2,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.35792535803022435,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,1+2,2,valid_numerical,target/complement separated on tested radial set and UV tail,0.35792535803022435,213.3430068568333,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.16667500000000002,0+1+2,0,valid_full_space,P=I3; no complementary spectrum,nan,NA,True
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,0,-2,valid_numerical,target/complement separated on tested radial set and UV tail,0.42982492677077255,259.74662837982953,False
3.0,0.0,0.0204,1.0,156.03425793323072,10.0,0.20834125000000003,1,0,valid_numerical,target/complement separated on tested radial set and UV tail,0.4298249267707724,259.74662837982953,False
