alpha_over_pi,grid,n_ky,delta_ky,c,count_left,count_right,accepted_left_crossings,accepted_right_crossings,excluded_crossings,excluded_with_persistent_edge,bulk_intersections_detected,bulk_line_gap_certified,v,omega,lambda,rho0,d0,N,L,R,K,ky_max,n_cells,kx_cut,n_kx,hop_cut,edge_width,eta
0.2,coarse,101,1.0,10.0,2,-2,2,2,4,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.2,coarse,101,1.0,-10.0,2,-2,2,2,4,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.2,fine,201,0.5,10.0,2,-2,2,2,4,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.2,fine,201,0.5,-10.0,2,-2,2,2,4,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.4,coarse,101,1.0,10.0,2,-2,2,2,0,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.4,coarse,101,1.0,-10.0,2,-2,2,2,0,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.4,fine,201,0.5,10.0,2,-2,2,2,0,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.4,fine,201,0.5,-10.0,2,-2,2,2,0,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.5,coarse,101,1.0,10.0,2,-2,2,2,0,0,False,True,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.5,coarse,101,1.0,-10.0,2,-2,2,2,0,0,False,True,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.5,fine,201,0.5,10.0,2,-2,2,2,0,0,False,True,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.5,fine,201,0.5,-10.0,2,-2,2,2,0,0,False,True,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.6,coarse,101,1.0,10.0,2,-2,2,2,0,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.6,coarse,101,1.0,-10.0,2,-2,2,2,0,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.6,fine,201,0.5,10.0,2,-2,2,2,0,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.6,fine,201,0.5,-10.0,2,-2,2,2,0,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.8,coarse,101,1.0,10.0,2,-2,2,2,4,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.8,coarse,101,1.0,-10.0,2,-2,2,2,4,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.8,fine,201,0.5,10.0,2,-2,2,2,4,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
0.8,fine,201,0.5,-10.0,2,-2,2,2,4,0,True,False,3.0,0.0,0.12709375,51.96896100959848,1.0,2000,7,3.5,20.75,50.0,36,40.0,384,35,6,0.45
