diameter,coupling,alpha_over_pi,speed,omega,interaction_radius,radial_points,mode_min,mode_max,edge_threshold,frequency_cutoff,selected_mode,max_edge_real_part,selected_imaginary_part,selected_edge_weight,selected_centroid_over_R,selected_eigenvector_condition,maximum_real_part_any_mode
3.3,8.0,0.5,3.0,0.0,1.0,40,3,20,0.5,100.0,7,4.577332586829721e-05,0.0001736512837911055,0.5607064438811235,0.7664616755381477,16.468123053097674,1.3747998518854143
3.3,8.0,0.5,3.0,0.0,1.0,56,3,20,0.5,100.0,3,3.230434313552301e-05,-2.9150422137933825e-07,0.5412086160319298,0.7832507377781446,11.325692262318151,8.360633087103288e-05
3.3,8.0,0.5,3.0,0.0,1.0,72,3,20,0.5,100.0,5,2.9534925718187224e-05,1.3623023485263316e-06,0.5610027540208737,0.8200140440079238,7.787366730606116,2.4434295607914835
3.3,8.0,0.5,3.0,0.0,1.0,88,3,20,0.5,100.0,19,2.723950715242398e-06,-6.352206944165229e-05,0.6099439415975234,0.8347975649818683,2.6915701207903417,1.3530718575745102
3.3,12.0,0.5,3.0,0.0,1.0,40,3,20,0.5,100.0,8,1.628798422323555e-05,-2.3466878121278073e-05,0.5239892787766579,0.6599222347914359,30.23802865516079,0.6112265487000093
3.3,12.0,0.5,3.0,0.0,1.0,56,3,20,0.5,100.0,4,0.00010627947333799939,1.4588156155196919e-06,0.5018475878216078,0.7761009273776821,7.94033665145409,0.00015452399793419995
3.3,12.0,0.5,3.0,0.0,1.0,72,3,20,0.5,100.0,5,7.888370753468366e-05,5.2108317614546446e-06,0.5534339103740538,0.8137818323839495,7.681468353229784,1.541992809639484
3.3,12.0,0.5,3.0,0.0,1.0,88,3,20,0.5,100.0,5,1.8420084322559917e-05,-0.00014803782505984158,0.8049477700714166,0.9051271648833582,17.361892352841412,0.9351982944611626
3.3,20.75,0.5,3.0,0.0,1.0,40,3,20,0.5,100.0,3,3.91903435501224e-05,-9.188014185401232e-05,0.5565928784659908,0.7475862845933982,13.241597843568353,0.0014337337423086967
3.3,20.75,0.5,3.0,0.0,1.0,56,3,20,0.5,100.0,19,4.962125911233785e-06,9.953441087877531e-06,0.6865089311070978,0.7687389252589275,15.300674439971798,0.0004875306210787559
