diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall
3.3,20.75,8,24,8,-0.1854050531946296,-261.61498060096835,261.615046298715,5.824656413395222e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,0.18540505319462414,-261.6149806009697,261.6150462987164,5.656311002916955e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,5.495044119815767e-16,254.56760386379062,254.56760386379062,1.216892627158677e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,2.362123894010838e-17,182.58985242890185,182.58985242890185,2.969228149502196e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.79727537334224e-18,-137.42754319495796,137.42754319495796,1.3535170469102914e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-3.3164624767250693e-16,-123.92970346310791,123.92970346310791,9.17400227344121e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,2.6812101447565504e-15,120.3916292507343,120.3916292507343,1.1031585090720766e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,1.7761681767303742e-17,110.62309332394841,110.62309332394841,1.8318567265139726e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.0821380539707905e-17,-89.3628843804838,89.3628843804838,6.792551297539207e-18,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-5.887359358106092e-16,-75.26938224241096,75.26938224241096,8.219066213826632e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,1.7095231282029745e-17,78.8550999481803,78.8550999481803,3.9247503370309323e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-4.52448945079534e-16,75.18773784434538,75.18773784434538,5.869417027750903e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-4.313542830546292e-17,-67.98439557782649,67.98439557782649,1.9407580838521787e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,8.611978522564336e-18,-60.988702110557206,60.988702110557206,7.869385075042389e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.3779320189537828e-18,64.49198298706933,64.49198298706933,2.154742841665502e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-9.360664436510891e-18,-55.343101160003904,55.343101160003904,5.0490248470148956e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,6.647465718502029e-17,60.381100369250326,60.381100369250326,1.739982153449532e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-6.738556778718465e-17,-50.04354927751121,50.04354927751121,2.950330624098094e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-2.7248294784622405e-17,-45.35054351129268,45.35054351129268,1.1433176942390053e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,3.1820089765651656e-17,-40.96721545545622,40.96721545545622,5.398816222372084e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,4.2251777156422686e-17,-36.972481599074364,36.972481599074364,4.7175675164354097e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.219736550811447e-16,-33.30763164077608,33.30763164077608,4.2482742185862696e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-2.7843090910005447e-16,-30.172757956984174,30.172757956984174,6.695283292601799e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-4.1742776248185114e-16,-27.360067750470108,27.360067750470108,6.473250412349659e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.1089061495406615e-15,-17.614275232787477,17.614275232787477,1.1092328044264614e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,3.122045682183197e-16,-19.820259047037325,19.820259047037325,1.0916217610302221e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-4.416263339270199e-16,-24.404119038452233,24.404119038452233,8.496606460901531e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,2.2095097301060885e-18,54.58345565837092,54.58345565837092,4.5976452852728813e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,4.984524519215498e-17,49.55253451658705,49.55253451658705,5.677109359371769e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-2.724579976595931e-17,44.89765741133442,44.89765741133442,2.0418881313871037e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,1.182288527367983e-15,-10.527979756886861,10.527979756886861,1.8437169893950033e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,9.474833120526878e-18,40.60735292320059,40.60735292320059,6.859170980150373e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,2.0869718909717757e-16,36.723588777001225,36.723588777001225,5.761352265420458e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-8.342800900844907e-16,33.163536781897974,33.163536781897974,4.6490350515598406e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.7238426825665275e-15,30.179346177536015,30.179346177536015,4.711377426271228e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,6.978152378920222e-16,22.15376061938392,22.15376061938392,2.0199349987252396e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.9005535181395247e-15,27.60793795274233,27.60793795274233,4.785054949480181e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.9061328891951938e-15,24.9344785007612,24.9344785007612,7.4029682862551e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,1.871211102380071e-15,23.71741781100412,23.71741781100412,1.8343353426885907e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-1.0969681318689889e-15,1.45226546160265,1.45226546160265,3.94022949322584e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,1.0476613436908802e-12,0.021604733091496506,0.021604733091496506,2.0614233422181799e-16,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-6.884760501635452e-13,-0.019303900330487525,0.019303900330487525,9.622355487501076e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-4.0027423417849446e-13,-0.0080689254784846,0.0080689254784846,2.3202168982693115e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-0.0017087627976302448,0.005017638667943048,0.005300619595915408,4.610302831463383e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,0.0017087627976359089,0.005017638668141756,0.005300619596105334,4.698972474710571e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-0.004629227277492774,0.0008273703040799587,0.004702582993074819,2.2812787682312477e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,0.0046292272775313925,0.0008273703040838196,0.0047025829931135145,2.204578453841025e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,7.996427462967873e-14,-0.0034361162700598568,0.0034361162700598568,7.34338994105048e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-0.001291813243887367,0.0015834675438623355,0.002043563289831812,3.849444875731368e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,0.0012918132438153266,0.001583467543792039,0.002043563289731803,3.820093312922347e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-0.0015374406267279028,-0.0009194190064034997,0.0017913835407442722,5.365278750247329e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,0.0015374406248980395,-0.0009194190059815594,0.0017913835389572477,5.1827154585866036e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,0.00042787426309762736,-0.0014898132328390007,0.0015500386620221872,2.3243471660806148e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-0.0004278742611606326,-0.0014898132307813085,0.0015500386595097549,2.471410304525699e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-0.0006957879997098297,-0.0003507288143625955,0.0007791865256563398,5.875106513149858e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,0.0006957879981480844,-0.00035072881645729226,0.0007791865252046211,6.387176492493922e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,-0.00014859182776365992,0.00015879954751101552,0.00021747833815773113,5.273102235664109e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
3.3,20.75,8,24,8,0.0001485918291010726,0.00015879955267692936,0.00021747834284359266,5.446219273713296e-17,2.220446049250313e-16,3.1335275869254526,1.3669346978025931
