alpha_over_pi,regime,xi_persist,xi_sign,block_count,active_block_count,maximum_contiguous_extent,extent_valid,total_saved_frames,terminal_saved_frame,terminal_iteration,analysis_window_time,source_hdf5,group,condition,condition_label,model_class,defect_height,defect_half_width,gate_count,calibrated_gate_count,calibration_trial_count,calibration_success_count,calibration_agreement,phase_rhs_validation_error
0.0,Independent_Zero_Endpoint,,,0,0,,False,501,500,5000,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,0,0,0,0,,
0.2,Chiral_No_Pattern_Prior,1.0,0.9862188611913493,142,142,21.99114857512855,True,1001,1000,10000,49.7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,22061,22061,1.0,
0.4,Chiral_No_Pattern_Prior,1.0,0.9105471661966755,35,35,21.99114857512855,True,251,250,2500,12.25,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,10319,10312,0.9993216396937687,
0.6,Pattern_Supported_Prior,1.0,1.0,209,209,21.99114857512855,True,5002,5001,50010,73.15,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,48337,48284,0.9989035314562343,7.105427357601002e-15
0.8,Pattern_Supported_Prior,1.0,1.0,142,142,21.99114857512855,True,1001,1000,10000,49.7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,40364,40313,0.9987364978693886,
1.0,Independent_Pi_Endpoint,,,0,0,,False,1002,1001,10010,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,0,0,0,0,,
0.0,Independent_Zero_Endpoint,,,0,0,,False,5001,5000,50000,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular_Single_Defect_H3,"Circular, single defect (H = 3)",CollisionBoundaryMidpointSpikePatternFormation,3.0,0.25,0,0,0,0,,
0.2,Chiral_No_Pattern_Prior,1.0,0.26694667060702904,142,142,27.493701682618298,True,1001,1000,10000,49.7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular_Single_Defect_H3,"Circular, single defect (H = 3)",CollisionBoundaryMidpointSpikePatternFormation,3.0,0.25,57,57,10691,10691,1.0,
0.4,Chiral_No_Pattern_Prior,1.0,0.5746223346322723,261,261,27.493701682618298,True,5001,5000,50000,91.35000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular_Single_Defect_H3,"Circular, single defect (H = 3)",CollisionBoundaryMidpointSpikePatternFormation,3.0,0.25,57,57,37687,37678,0.9997611908615703,
0.6,Pattern_Supported_Prior,1.0,1.0,261,261,27.493701682618298,True,8001,8000,80000,91.35000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular_Single_Defect_H3,"Circular, single defect (H = 3)",CollisionBoundaryMidpointSpikePatternFormation,3.0,0.25,57,57,59710,59487,0.9962652821972869,
0.8,Pattern_Supported_Prior,1.0,1.0,261,261,27.493701682618298,True,5001,5000,50000,91.35000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular_Single_Defect_H3,"Circular, single defect (H = 3)",CollisionBoundaryMidpointSpikePatternFormation,3.0,0.25,57,57,79605,79442,0.9979523899252559,
1.0,Independent_Pi_Endpoint,,,0,0,,False,8001,8000,80000,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryMidpointSpikePatternFormation(K=20.750,D0=1.000,A0=3.142,L=7.0,H=3.000,W=0.250,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular_Single_Defect_H3,"Circular, single defect (H = 3)",CollisionBoundaryMidpointSpikePatternFormation,3.0,0.25,0,0,0,0,,
0.0,Independent_Zero_Endpoint,,,0,0,,False,5001,5000,50000,0.0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,0,0,0,0,,
0.2,Chiral_No_Pattern_Prior,0.981203007518797,0.07369093231162197,266,261,27.5,True,5001,5000,50000,93.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,56,56,3229,3229,1.0,
0.4,Chiral_No_Pattern_Prior,1.0,0.9788494317048747,266,266,28.0,True,5001,5000,50000,93.10000000000001,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CollisionBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Square,Square,Square,CollisionBoundaryPatternFormation,0.0,0.0,56,56,93680,93674,0.999935952177626,
