alpha_over_pi,regime,xi_persist,xi_sign,block_count,active_block_count,maximum_contiguous_extent,extent_valid,total_saved_frames,terminal_saved_frame,terminal_iteration,analysis_window_time,requested_analysis_window_time,analysis_window_fraction,n_blk,source_hdf5,group,condition,condition_label,model_class,defect_height,defect_half_width,grid_count,calibrated_grid_count,calibration_trial_count,calibration_success_count,calibration_agreement,phase_rhs_validation_error,maximum_contiguous_extent_no_cross_join,extent_valid_no_cross_join,mean_active_arclength_fraction,active_block_mean_arclength_fraction,calibrated_perimeter_fraction,preselection_grid_coverage,selected_grid_coverage,w_selection_retention,representative_wall_distance_q50_over_d0,representative_wall_distance_q90_over_d0,representative_wall_distance_q99_over_d0,representative_wall_distance_max_over_d0,block_activity_lag1_correlation,block_chirality_lag1_correlation,omitted_perimeter_fraction
0.0,Independent_Zero_Endpoint,,,0,0,,False,501,500,5000,0.0,73.30382858376184,,0,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.000,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
0.1,Chiral_No_Pattern_Prior,1.0,1.0,209,209,21.99114857512855,True,8001,8000,80000,73.15,73.30382858376184,0.9979014931861838,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.314,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,2660,2660,1.0,,21.99114857512855,True,0.07546759460635058,0.07546759460635058,0.9999999999999999,0.04130961251862891,0.04130961251862891,,1.4614035324100882e-06,7.326647713767898e-05,0.0009289822356231002,0.0013322319925661574,,,0.0
0.2,Chiral_No_Pattern_Prior,1.0,0.9862188611913493,142,142,21.99114857512855,True,1001,1000,10000,49.7,73.30382858376184,0.6780000575714742,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.628,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,22061,22061,1.0,,21.99114857512855,True,0.5875480153649167,0.5875480153649167,0.9999999999999999,0.5061900411146643,0.5061900411146643,,3.868313032029391e-05,0.006319059231209678,1.9285669683245235,3.401958405260915,,0.8363535573213469,0.0
0.3,Chiral_No_Pattern_Prior,1.0,1.0,209,209,21.99114857512855,True,8001,8000,80000,73.15,73.30382858376184,0.9979014931861838,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=0.942,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,33152,33152,1.0,,21.99114857512855,True,0.6170073945193562,0.6170073945193562,0.9999999999999999,0.5150117983109787,0.5150117983109787,,9.811598399478427e-05,0.0006123712707891484,0.0019405786846631245,0.0037464046691271236,,,0.0
0.4,Chiral_No_Pattern_Prior,1.0,0.9105471661966755,35,35,21.99114857512855,True,251,250,2500,12.25,73.30382858376184,0.16711269024649011,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.257,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,10319,10312,0.9993216396937687,,21.99114857512855,True,0.9240259740259739,0.9240259740259739,0.9999999999999999,1.0,1.0,,0.00026348631708295045,0.026397955043757013,0.19268476632766762,0.6329092816598467,,0.9196846906665611,0.0
0.5,Critical_Pattern_Threshold,1.0,1.0,209,209,21.99114857512855,True,8001,8000,80000,73.15,73.30382858376184,0.9979014931861838,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.571,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,52053,52052,0.9999807888114037,,21.99114857512855,True,0.789691170073945,0.789691170073945,0.9999999999999999,0.8640244659711873,0.8640244659711873,,0.0028693422383794243,1.7165976102342597,3.0483892076069146,3.4886343066130983,,,0.0
0.6,Pattern_Supported_Prior,1.0,1.0,209,209,21.99114857512855,True,5002,5001,50010,73.15,73.30382858376184,0.9979014931861838,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=1.885,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,48337,48284,0.9989035314562343,1.0658141036401503e-14,21.99114857512855,True,0.9779251848629837,0.9779251848629837,0.9999999999999999,0.8960196224540486,0.8677036761053154,0.9683980733913164,0.04439905944162925,0.6167508271304228,0.9484730532588278,0.9999921866714159,,,0.0
0.7,Pattern_Supported_Prior,1.0,1.0,209,209,21.99114857512855,True,8001,8000,80000,73.15,73.30382858376184,0.9979014931861838,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=2.199,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,46831,46825,0.9998718797377806,,21.99114857512855,True,0.9833623314484558,0.9833623314484558,0.9999999999999999,0.8729508196721312,0.8423528315946349,0.9649487836107554,0.025402274289056948,0.6018113050391922,0.9573305296366826,0.9999478423397399,,,0.0
0.8,Pattern_Supported_Prior,1.0,1.0,142,142,21.99114857512855,True,1001,1000,10000,49.7,73.30382858376184,0.6780000575714742,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=2.513,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,40364,40313,0.9987364978693886,,21.99114857512855,True,0.9982394366197183,0.9982394366197183,0.9999999999999999,0.9801050708085884,0.9609867519415258,0.9804936027406838,0.024663081265064557,0.20120828892144635,0.6678045684585681,0.99817254146613,,,0.0
0.9,Pattern_Supported_Prior,1.0,1.0,209,209,21.99114857512855,True,8001,8000,80000,73.15,73.30382858376184,0.9979014931861838,7,"D:\PythonProject\System Theory\Frustration Induced Lattice\data\CircularBoundaryPatternFormation(K=20.750,D0=1.000,A0=2.827,L=7.0,v=3.0,dist=uniform,wMin=0.000,dw=0.000,N=2000,dt=0.005,snap=10,seed=9).h5",Circular,Circular,Circular,CircularBoundaryPatternFormation,0.0,0.0,44,44,62248,62207,0.9993413443002185,,21.99114857512855,True,0.997281426707264,0.997281426707264,0.9999999999999999,0.9999379036264282,0.9994877049180327,0.9995497733341613,0.030885568976075195,0.15468253071055388,0.3846729909268441,0.9824729994399539,,,0.0
