condition,condition_label,alpha_over_pi,minimum_supported_frame_pairs,xi_persist,xi_sign
Circular,Circular,0.1,1,1.0,1.0
Circular,Circular,0.1,2,1.0,1.0
Circular,Circular,0.1,3,1.0,1.0
Circular,Circular,0.2,1,1.0,0.9862188611913493
Circular,Circular,0.2,2,1.0,0.9863974735157021
Circular,Circular,0.2,3,1.0,0.9879454415674788
Circular,Circular,0.3,1,1.0,1.0
Circular,Circular,0.3,2,1.0,1.0
Circular,Circular,0.3,3,1.0,1.0
Circular,Circular,0.4,1,1.0,0.9105471661966755
Circular,Circular,0.4,2,1.0,0.913836006041714
Circular,Circular,0.4,3,1.0,0.910106412297275
Circular,Circular,0.5,1,1.0,1.0
Circular,Circular,0.5,2,1.0,1.0
Circular,Circular,0.5,3,1.0,1.0
Circular,Circular,0.6,1,1.0,1.0
Circular,Circular,0.6,2,1.0,1.0
Circular,Circular,0.6,3,1.0,1.0
Circular,Circular,0.7,1,1.0,1.0
Circular,Circular,0.7,2,1.0,1.0
Circular,Circular,0.7,3,1.0,1.0
Circular,Circular,0.8,1,1.0,1.0
Circular,Circular,0.8,2,1.0,1.0
Circular,Circular,0.8,3,1.0,1.0
Circular,Circular,0.9,1,1.0,1.0
Circular,Circular,0.9,2,1.0,1.0
Circular,Circular,0.9,3,1.0,1.0
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.1,1,1.0,0.03598180706046186
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.1,2,1.0,0.03834828083882086
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.1,3,0.9885057471264368,0.04434712198051208
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.2,1,1.0,0.26312506678468484
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.2,2,1.0,0.26262781297942217
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.2,3,1.0,0.2599905115897275
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.3,1,0.9961685823754789,0.06492553534707185
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.3,2,0.9961685823754789,0.07040725693689735
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.3,3,0.9961685823754789,0.07933978288997072
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.4,1,1.0,0.56942607556779
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.4,2,1.0,0.6036896712689408
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.4,3,1.0,0.6360572989646149
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.5,1,1.0,0.6643043225796346
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.5,2,1.0,0.6691032482007269
Circular_Single_Defect_H3,"Circular, single defect (H = 3)",0.5,3,1.0,0.6784973864648205
