epsilon=1-alpha/pi,alpha/pi,D0_denominator,k_star,k_star*d0,max_Re_sigma,2pi/k_star,continuous_boundary_mode_Rk,nearest_integer_mode,divergent_coefficient_abs
0.1,0.9,-12.824205266560321,5.211081626414377,5.211081626414377,1.2574311271701513,1.2057353458696247,18.23878569245032,18,4.764395539029249
0.05,0.95,-6.492030299169586,4.9683527358869775,4.9683527358869775,1.0821663617088055,1.2646415504671042,17.38923457560442,17,8.555134138937158
0.02,0.98,-2.6058065604665135,5.1751312961095906,5.1751312961095906,1.229826167315732,1.2141112848485556,18.112959536383567,18,23.12507181505865
0.01,0.9900000000000001,-1.3035465017423218,5.146437737724191,5.146437737724191,1.3335842831658482,1.2208804667202828,18.012532082034667,18,45.71612753665411
0.005,0.995,-0.6518536684405595,5.138389417825387,5.138389417825387,1.3624775483541773,1.2227927461828472,17.984362962388854,18,91.13525925667463
0.002,0.998,-0.26075047457070377,5.13606790148654,5.13606790148654,1.370802100028782,1.2233454517532827,17.97623765520289,18,227.62445762466632
0.001,0.9990000000000001,-0.13037588066399886,5.135733819354182,5.135733819354182,1.3719999253077053,1.2234250310055392,17.975068367739638,18,455.18744640563284
0.0005,0.9995,-0.06518802075448249,5.135650381598883,5.135650381598883,1.3722997200416143,1.223444907716526,17.97477633559609,18,910.3441891270658
0.0002,0.9997999999999999,-0.026075217309125508,5.135626755861996,5.135626755861996,1.3723836868518522,1.2234505360047288,17.974693645516986,18,2275.838747244666
0.0001,0.9999,-0.013037609297945518,5.135623617396412,5.135623617396412,1.3723956829785635,1.223451283675837,17.974682660887442,18,4551.671706664879
5e-05,0.99995,-0.006518804729388615,5.135622578699454,5.135622578699454,1.3723986820445013,1.2234515311229786,17.97467902544809,18,9103.339618668531
1e-05,0.99999,-0.001303760951025145,5.135622513782827,5.135622513782827,1.3723996417516768,1.2234515465879678,17.974678798239893,18,45516.69676293275
