seed,shell_width_over_d0,phase_confidence,family,lattice_cluster_count,cluster_count_stability_fraction,fourier_peak_mode,dominant_amplitude
1,0.35,0.3,CW,16,1.0,16,0.6418544661632799
1,0.35,0.3,CCW,16,1.0,16,0.673388886936332
1,0.35,0.5,CW,16,1.0,16,0.6438097284976895
1,0.35,0.5,CCW,16,1.0,16,0.6753682021304604
1,0.35,0.7,CW,16,1.0,16,0.6459089680914577
1,0.35,0.7,CCW,16,1.0,16,0.6775688918159911
1,0.5,0.3,CW,16,1.0,16,0.6365770035107321
1,0.5,0.3,CCW,16,1.0,16,0.6682555299902297
1,0.5,0.5,CW,16,1.0,16,0.6391128947522858
1,0.5,0.5,CCW,16,1.0,16,0.6705118359919598
1,0.5,0.7,CW,16,1.0,16,0.6418758477344693
1,0.5,0.7,CCW,16,1.0,16,0.6733136299033945
1,0.75,0.3,CW,16,0.9864864864864865,16,0.6288843565225678
1,0.75,0.3,CCW,16,0.9864864864864865,16,0.661232733071449
1,0.75,0.5,CW,16,0.9864864864864865,16,0.632082680927561
1,0.75,0.5,CCW,16,1.0,16,0.6640752111564876
1,0.75,0.7,CW,16,0.9864864864864865,16,0.6356633538568732
1,0.75,0.7,CCW,16,1.0,16,0.667545221011847
1,1.0,0.3,CW,16,0.9594594594594594,16,0.6218900192439188
1,1.0,0.3,CCW,16,0.972972972972973,16,0.6546578460961501
1,1.0,0.5,CW,16,0.9594594594594594,16,0.6257334455511465
1,1.0,0.5,CCW,16,0.9864864864864865,16,0.6582054264766309
1,1.0,0.7,CW,16,0.9864864864864865,16,0.6299105120625658
1,1.0,0.7,CCW,16,0.9864864864864865,16,0.6620861684812762
9,0.35,0.3,CW,16,1.0,16,0.6600356846279904
9,0.35,0.3,CCW,16,1.0,16,0.7403659209953488
9,0.35,0.5,CW,16,1.0,16,0.661583270790741
9,0.35,0.5,CCW,16,1.0,16,0.7419706504868404
9,0.35,0.7,CW,16,1.0,16,0.6633896411402537
9,0.35,0.7,CCW,16,1.0,16,0.7445733132900051
9,0.5,0.3,CW,16,1.0,16,0.6559103882285501
9,0.5,0.3,CCW,16,1.0,16,0.7346402372755318
9,0.5,0.5,CW,16,1.0,16,0.6578939105004662
9,0.5,0.5,CCW,16,1.0,16,0.7368142273293445
9,0.5,0.7,CW,16,1.0,16,0.6605302481880851
9,0.5,0.7,CCW,16,1.0,16,0.7399272000516813
9,0.75,0.3,CW,16,1.0,16,0.6501406712292865
9,0.75,0.3,CCW,16,1.0,16,0.726432274493565
9,0.75,0.5,CW,16,1.0,16,0.6526834705157267
9,0.75,0.5,CCW,16,1.0,16,0.7294261754273907
9,0.75,0.7,CW,16,1.0,16,0.6560520938384986
9,0.75,0.7,CCW,16,1.0,16,0.7334623275028764
9,1.0,0.3,CW,16,0.9864864864864865,16,0.6443620133446835
9,1.0,0.3,CCW,16,0.972972972972973,16,0.7195475936202872
9,1.0,0.5,CW,16,0.9864864864864865,16,0.6474516796583908
9,1.0,0.5,CCW,16,0.972972972972973,16,0.7229734301920918
9,1.0,0.7,CW,16,1.0,16,0.6512524989806845
9,1.0,0.7,CCW,16,1.0,16,0.7275725637253281
17,0.35,0.3,CW,16,1.0,15,0.5333585215177025
17,0.35,0.3,CCW,16,1.0,16,0.7755989061817647
17,0.35,0.5,CW,16,1.0,15,0.5347716522871478
17,0.35,0.5,CCW,16,1.0,16,0.7773091351566508
17,0.35,0.7,CW,16,1.0,15,0.5367988953780289
17,0.35,0.7,CCW,16,1.0,16,0.7798804327612592
17,0.5,0.3,CW,16,0.9864864864864865,15,0.5293489216314741
17,0.5,0.3,CCW,16,1.0,16,0.770287964624493
17,0.5,0.5,CW,16,1.0,15,0.5312167851549648
17,0.5,0.5,CCW,16,1.0,16,0.7724731740333055
17,0.5,0.7,CW,16,1.0,15,0.5337168456215151
17,0.5,0.7,CCW,16,1.0,16,0.7758773109736152
17,0.75,0.3,CW,16,0.9864864864864865,15,0.5238533263601073
17,0.75,0.3,CCW,16,1.0,16,0.7625040560791317
17,0.75,0.5,CW,16,0.9864864864864865,15,0.5260861549359839
17,0.75,0.5,CCW,16,1.0,16,0.7653416055583178
17,0.75,0.7,CW,16,1.0,15,0.5290811729215926
17,0.75,0.7,CCW,16,1.0,16,0.7697205392256639
17,1.0,0.3,CW,16,0.972972972972973,15,0.5182177141784404
17,1.0,0.3,CCW,16,0.972972972972973,16,0.7553624946630062
17,1.0,0.5,CW,16,0.972972972972973,15,0.5209626902463619
17,1.0,0.5,CCW,16,0.9864864864864865,16,0.7588936966510336
17,1.0,0.7,CW,16,1.0,15,0.5246468924956025
17,1.0,0.7,CCW,16,1.0,16,0.7637872502850076
